From Type,From Name,Edge,To Type,To Name,Weight,starting date,ending date
Universities,"Taguspark, SA",Investment,Venture Capital Funds,FCR ISTART I,1,2011,
Other,Sindicato Nac. Quadros e Técnicos Bancários,VC Fundraising,Venture Capital Funds,FCR Portugal Ventures Universitas,1,2011,
Venture Capital Funds,Fundo ISQ Capital,Investment,Targeted companies (startups),"SPHERAA - PRODUÇÃO DE ENERGIA, LDA",1,2008,
Venture Capital Funds,Fundo ISQ Capital,Investment,Targeted companies (startups),"IBERMAROS-EQUIPAMENTOS INDUSTRIAIS, S.A.",1,2005,
Limited Partners (LPs)/SCR´s - Outside PT,Investo,Investment,Targeted companies (startups),"UNBABEL, INC.",1,2014,
Corporate,Cisco Investments,Investment,Targeted companies (startups),"VENIAM, INC.",1,2014,
Limited Partners (LPs)/SCR´s - Outside PT,Herrick Partners,Investment,Targeted companies (startups),"YDREAMS - INFORMÁTICA, S.A.",1,2006,
Corporate,"Mota­ Engil, Engenharia e Construção , S. A.",Investment,Targeted companies (startups),"BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.",1,2006,
Corporate,NEUTROPLAST ­ INDÚSTRIA DE EMBALAGENS PLÁSTICAS S.A.,Investment,Targeted companies (startups),"BEYONDEVICES, S.A.",1,2015,
Corporate,Grupo EDP,Management entity (or controlling entity),Corporate,EDP Inovação,1,2005,
Corporate,Grupo EDP,Management entity (or controlling entity),Corporate,EDP Ventures SGPS,1,2005,
Corporate,Grupo EDP,Investment,Targeted companies (startups),"WINDPLUS, S.A.",1,2009,
Corporate,Grupo EDP,Investment,Targeted companies (startups),"EIDT - ENGENHARIA, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO, S.A.",1,2012,
Corporate,"Critical Software, S.A.",Investment,Targeted companies (startups),"CBRA GENOMICS, S.A.",1,2013,
Corporate,EDP Inovação,Investment,Targeted companies (startups),"WINDPLUS, S.A.",1,2009,
Corporate,EDP Ventures SGPS,Investment,Targeted companies (startups),"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",1,2011,2015
Corporate,"Brisa, SA",VC Fundraising,Venture Capital Funds,FCR ISTART I,1,2011,
Corporate,"Brisa, SA",VC Fundraising,Venture Capital Funds,FCR F-HITEC,1,2008,
Corporate,SIBS,VC Fundraising,Venture Capital Funds,FCR F-HITEC,1,2008,
Limited Partners (LPs)/SCR´s - Outside PT,Verizon Ventures,Investment,Targeted companies (startups),"VENIAM, INC.",1,2014,
Limited Partners (LPs)/SCR´s - Outside PT,Cane Investments LLC,Investment,Targeted companies (startups),"VENIAM, INC.",1,2014,
Limited Partners (LPs)/SCR´s - Outside PT,Yamaha Motor Ventures,Investment,Targeted companies (startups),"VENIAM, INC.",1,2014,
Limited Partners (LPs)/SCR´s - Outside PT,Orange Digital Ventures,Investment,Targeted companies (startups),"VENIAM, INC.",1,2014,
Limited Partners (LPs)/SCR´s - Outside PT,Liberty Global Ventures,Investment,Targeted companies (startups),"VENIAM, INC.",1,2014,
Corporate,"CUF ­ Companhia União Fabril, SGPS, S.A",Investment,Targeted companies (startups),"YD YNVISIBLE, S.A.",1,2013,
Corporate,Beyond Newsgen ­ Soluções de Gestão e Personalização de Conteúdos Lda,Investment,Targeted companies (startups),"WIZI TO FIND, S.A.",1,2006,
Corporate,ENERNOVA - Novas Energias S.A.,Investment,Targeted companies (startups),"WINDPLUS, S.A.",1,2009,
Universities,ISCTE,VC Fundraising,Venture Capital Funds,FCR Portugal Ventures Universitas,1,2011,
Universities,ISCTE,Management entity (or controlling entity),Universities,BGI SA,1,2013,
Universities,Universidade do Porto,Investment,Targeted companies (startups),"SMARTWATT - ENERGY SERVICES, S.A.",1,2009,
Universities,Universidade do Porto,Investment,Targeted companies (startups),"PETSYS ELECTRONICS - MEDICAL PET DETECTORS,",1,2013,
Universities,Universidade do Porto,Investment,Targeted companies (startups),"BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.",1,2006,
Universities,Universidade do Porto,Investment,Targeted companies (startups),"KINEMATIX SENSE, S.A.",1,2008,
Universities,Universidade do Porto,Investment,Targeted companies (startups),"MAGNOMICS, S.A.",1,2014,
Universities,Universidade do Porto,Investment,Targeted companies (startups),"FLUIDINOVA, S.A.",1,2005,
Universities,"Inesc ID ­ Instituto de Engenharia de Sistemas e Computadores, Investigação e Desenvolvimento",Investment,Targeted companies (startups),"COREWORKS - PROJECTOS DE CIRCUITOS E SISTEMAS ELECTRÓNICOS, S.A.",1,2006,
Universities,BGI SA,Investment,Targeted companies (startups),"VENIAM, INC.",1,2014,
Universities,BGI SA,Investment,Targeted companies (startups),"CHANGING EXPERIENCE, S.A.",1,2013,
Universities,BGI SA,Investment,Targeted companies (startups),"D-ORBIT PT, LDA",1,2014,
Universities,BGI SA,Investment,Targeted companies (startups),"MOVVO, S.A.",1,2013,
Banks,BPI,VC Fundraising,Venture Capital Funds,FCR F-HITEC,1,2008,
Banks,BPI,VC Fundraising,Limited Partners (LPs)/SCR´s - Outside PT,Pathena SICAR,1,2012,
Banks,BPI,VC Fundraising,Venture Capital Funds,FCR Portugal Ventures Turismo Inovação,1,2011,
Banks,BPI,VC Fundraising,Venture Capital Funds,FCR Portugal Ventures ACTEC II,1,2011,
Banks,BES/Novo Banco,VC Fundraising,Venture Capital Funds,FCR ISTART I,1,2011,
Banks,BES/Novo Banco,VC Fundraising,Venture Capital Funds,FCR PME / Novo Banco,1,1997,
Banks,BES/Novo Banco,VC Fundraising,Venture Capital Funds,FCR ESV Inovação & Internacionalização,1,2011,
Banks,Novo Banco (vendido SONAE IM em 2016),VC Fundraising,Venture Capital Funds,FCR ESV II,1,2006,2016
Banks,Novo Banco (vendido SONAE IM em 2016),VC Fundraising,Venture Capital Funds,FCR ESV III,1,2009,
Corporate,DST,VC Fundraising,Venture Capital Funds,FCR Minho Inovação e Internacionalização,1,2011,
Corporate,SONAE Capital,VC Fundraising,Venture Capital Funds,FCR F-HITEC,1,2008,
Corporate,INSTITUTO DE SOLDADURA E QUALIDADE,Investment,Targeted companies (startups),"SPHERAA - PRODUÇÃO DE ENERGIA, LDA",1,2008,
Corporate,PKM,VC Fundraising,Venture Capital Funds,FCR Minho Inovação e Internacionalização,1,2011,
Corporate,IMPRESA,Investment,Targeted companies (startups),"NONIUSSOFT, SOFTWARE E CONSULTORIA PARA TELECOMUNICAÇÕES, S.A.",1,2011,2015
Corporate,"CGC Centro de Genética Clínica e Patologia, S.A.",Investment,Targeted companies (startups),STEMMATTERS - BIOTECNOLOGIA E MEDICINA REGENERATIVA S.A.,1,2011,
Corporate,"Bluepharma ­ Indústria farmacêutica,S.A.",Investment,Targeted companies (startups),"TREAT U, S.A.",1,2013,
Corporate,"LUSÁGUA ­ SERVIÇOS AMBIENTAIS, S.A.",Investment,Targeted companies (startups),"SPHERAA - PRODUÇÃO DE ENERGIA, LDA",1,2008,
Corporate,REPSOL,Investment,Targeted companies (startups),"WINDPLUS, S.A.",1,2009,
Corporate,Workday Ventures,Investment,Targeted companies (startups),"UNBABEL, INC.",1,2014,
Targeted companies (startups),D­ORBIT S.R.L.,Management entity (or controlling entity),Targeted companies (startups),"D-ORBIT PT, LDA",1,2014,
Limited Partners (LPs)/SCR´s - Outside PT,Union Square Ventures,Investment,Targeted companies (startups),"VENIAM, INC.",1,2014,
Limited Partners (LPs)/SCR´s - Outside PT,Octopus Ventures,Investment,Targeted companies (startups),UNIPLACES LIMITED,1,2013,
Limited Partners (LPs)/SCR´s - Outside PT,Atomico,Investment,Targeted companies (startups),UNIPLACES LIMITED,1,2013,
Limited Partners (LPs)/SCR´s - Outside PT,True Ventures,Investment,Targeted companies (startups),"VENIAM, INC.",1,2014,
Venture Capital Funds,FCR Portugal Ventures Indústrias Criativas,Investment,Targeted companies (startups),"SCIENCE4YOU, S.A.",1,2012,
Venture Capital Funds,FCR Portugal Ventures Indústrias Criativas,Investment,Targeted companies (startups),"TUIZZI, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Indústrias Criativas,Investment,Targeted companies (startups),NUTRI VENTURES CORPORATION - NVC S.A.,1,2010,
Venture Capital Funds,FCR Portugal Ventures Indústrias Criativas,Investment,Targeted companies (startups),"IM3DICAL, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Indústrias Criativas,Investment,Targeted companies (startups),"GORGEOUSDETAILS, S.A. - SOCIEDADE EM LIQUIDAÇÃO",1,2013,2016
Venture Capital Funds,FCR Portugal Ventures Indústrias Criativas,Investment,Targeted companies (startups),"GLOBAL INPAKT, S.A.",1,2013,2015
Venture Capital Funds,FCR Portugal Ventures Indústrias Criativas,Investment,Targeted companies (startups),"GETSOCIAL, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Indústrias Criativas,Investment,Targeted companies (startups),"GLEAM, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Finicia,Investment,Targeted companies (startups),"SCIENCE4YOU, S.A.",1,2012,
Venture Capital Funds,FCR Novabase Capital,Investment,Targeted companies (startups),"POWER DATA, LDA",1,2013,
Venture Capital Funds,FCR Novabase Capital,Investment,Targeted companies (startups),"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",1,2011,2015
Venture Capital Funds,FCR InovCapital,Investment,Targeted companies (startups),"KINEMATIX SENSE, S.A.",1,2008,
Venture Capital Funds,FCR InovCapital,Investment,Targeted companies (startups),GENE PREDIT S.A.,1,2012,
Venture Capital Funds,FCR Change Partners I,VC Fundraising,Venture Capital Funds,FCR Fast Change,1,2003,
Venture Capital Funds,Fundo de Sindicação de Capital de Risco PME – IAPMEI (“FSCR PME IAPMEI”),VC Fundraising,Venture Capital Funds,FCR Beta Early Stages,1,2005,2014
Venture Capital Funds,Fundo de Capital de Risco para Investidores Qualificados – CAPVEN NewCapital (“FIQ CAPVEN”),VC Fundraising,Venture Capital Funds,FCR Beta Early Stages,1,2005,2014
Venture Capital Funds,FCR Portugal Ventures Turismo Inovação,Investment,Targeted companies (startups),"MYGON, S.A.",1,2012,
Venture Capital Funds,FCR Portugal Ventures Turismo Inovação,Investment,Targeted companies (startups),"WEDELIVERAWESOMEAPPS, S.A.",1,2014,
Venture Capital Funds,FCR Portugal Ventures Turismo Inovação,Investment,Targeted companies (startups),"ICLIO, S.A.",1,2014,
Venture Capital Funds,FCR Portugal Ventures Turismo Inovação,Investment,Targeted companies (startups),"MAPS WITH LIFE, S.A. - EM LIQUIDAÇÃO",1,2013,2016
Venture Capital Funds,FCR Portugal Ventures Turismo Inovação,Investment,Targeted companies (startups),"FAIRWAY, MEDICAL TOURISM PORTUGAL, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Turismo Inovação,Investment,Targeted companies (startups),"FRIDAY: CIÊNCIA E ENGENHARIA DO LAZER, S.A.",1,2014,
Venture Capital Funds,FCR Beta Ciências da Vida,Investment,Targeted companies (startups),"NONIUSSOFT, SOFTWARE E CONSULTORIA PARA TELECOMUNICAÇÕES, S.A.",1,2011,2015
Venture Capital Funds,FCR Beta Ciências da Vida,Investment,Targeted companies (startups),"MAGNOMICS, S.A.",1,2014,
Venture Capital Funds,FCR Beta Ciências da Vida,Investment,Targeted companies (startups),"EQUIGERMINAL, S.A.",1,2012,
Venture Capital Funds,FCR Beta Ciências da Vida,Investment,Targeted companies (startups),"HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.",1,2013,
Venture Capital Funds,FCR ISTART I,Investment,Targeted companies (startups),"SAKPROJECT INTERNATIONAL, S.A",1,2012,
Venture Capital Funds,FCR ISTART I,Investment,Targeted companies (startups),QAMINE LIMITED,1,2015,
Venture Capital Funds,FCR ISTART I,Investment,Targeted companies (startups),"QAMINE PORTUGAL, S.A",1,2013,
Venture Capital Funds,FCR ISTART I,Investment,Targeted companies (startups),"ECOFOOT, S.A.",1,2013,
Venture Capital Funds,FCR ISTART I,Investment,Targeted companies (startups),"LASERLEAP TECHNOLOGIES,S.A.",1,2013,
Venture Capital Funds,FCR ISTART I,Investment,Targeted companies (startups),"MUZZLEY, S.A.",1,2012,
Venture Capital Funds,FCR ISTART I,Investment,Targeted companies (startups),"FASTINOV, S.A.",1,2015,
Venture Capital Funds,FCR ISTART I,Investment,Targeted companies (startups),"EQUIGERMINAL, S.A.",1,2012,
Venture Capital Funds,FCR ISTART I,Investment,Targeted companies (startups),"HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.",1,2013,
Venture Capital Funds,FCR PME / Novo Banco,Investment,Targeted companies (startups),"EPEDAL, SGPS S.A.",1,2015,
Venture Capital Funds,FCR Fast Change,Investment,Targeted companies (startups),"STOPLINE FILMS - PRODUÇÃO DE AUDIOVISUAIS, LDA",1,2005,
Venture Capital Funds,FCR Fast Change,Investment,Targeted companies (startups),"CEV, S.A.",1,2007,
Venture Capital Funds,FCR Fast Change,Investment,Targeted companies (startups),"CONVERDE, S.A.",1,2012,
Venture Capital Funds,FCR Fast Change,Investment,Targeted companies (startups),CRITICAL LINKS S.A.,1,2007,
Venture Capital Funds,FCR Fast Change,Investment,Targeted companies (startups),"HOTTRADE - REPRESENTAÇÕES, GESTÃO E SERVIÇOS S.A.",1,2006,
Venture Capital Funds,FCR Fast Change,Investment,Targeted companies (startups),"FLUIDINOVA, S.A.",1,2005,
Venture Capital Funds,FCR Fast Change,Investment,Targeted companies (startups),"GUESTCENTRIC SYSTEMS, S.A.",1,2007,
Venture Capital Funds,FCR Revitalizar Centro,Investment,Targeted companies (startups),"CELL2B - ADVANCED THERAPEUTICS, S.A.",1,2012,
Venture Capital Funds,FCR Revitalizar Centro,Investment,Targeted companies (startups),"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",1,2011,
Venture Capital Funds,FCR Portugal Ventures ACTEC II,Investment,Targeted companies (startups),"TOP RESEARCH, S.A.",1,2015,
Venture Capital Funds,FCR Portugal Ventures ACTEC II,Investment,Targeted companies (startups),THELIAL TECHNOLOGIES S.A.,1,2010,
Venture Capital Funds,FCR Portugal Ventures ACTEC II,Investment,Targeted companies (startups),"PERCEIVE3D, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures ACTEC II,Investment,Targeted companies (startups),"POSSIBLE ANSWER , S.A",1,2015,
Venture Capital Funds,FCR Portugal Ventures ACTEC II,Investment,Targeted companies (startups),"ZARPH, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures ACTEC II,Investment,Targeted companies (startups),"CHANGING EXPERIENCE, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures ACTEC II,Investment,Targeted companies (startups),BULLET SOLUTIONS - SISTEMAS DE INFORMAÇÃO S.A.,1,2015,
Venture Capital Funds,FCR Portugal Ventures ACTEC II,Investment,Targeted companies (startups),"MICE - MOLDS AND INJECTED COMPONENTS ENGINEERING, S.A.",1,2015,
Venture Capital Funds,FCR Portugal Ventures Biocant,Investment,Targeted companies (startups),"TREAT U, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Biocant,Investment,Targeted companies (startups),"PEEK HEALTH, S.A.",1,2015,
Venture Capital Funds,FCR Portugal Ventures Biocant,Investment,Targeted companies (startups),"PERCEIVE3D, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Biocant,Investment,Targeted companies (startups),"CBRA GENOMICS, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Biocant,Investment,Targeted companies (startups),"IMMUNETHEP, S.A.",1,2015,
Venture Capital Funds,FCR Portugal Ventures Biocant,Investment,Targeted companies (startups),"LUZITIN, S.A.",1,2011,
Venture Capital Funds,FCR Portugal Ventures Biocant,Investment,Targeted companies (startups),GENE PREDIT S.A.,1,2012,
Venture Capital Funds,FCR Novabase Inovação e Internacionalização,Investment,Targeted companies (startups),"SMARTGEO, SOLUTIONS, LDA",1,2013,
Venture Capital Funds,FCR Novabase Inovação e Internacionalização,Investment,Targeted companies (startups),"POWER DATA, LDA",1,2013,
Venture Capital Funds,FCR Novabase Inovação e Internacionalização,Investment,Targeted companies (startups),"POWERGRID, LDA",1,2011,
Venture Capital Funds,FCR Novabase Inovação e Internacionalização,Investment,Targeted companies (startups),"RADICAL INNOVATION, LDA",1,2013,
Venture Capital Funds,FCR Novabase Inovação e Internacionalização,Investment,Targeted companies (startups),"WIZDEE-SISTEMAS DE GESTÃO DE CONHECIMENTO, S.A.",1,2014,
Venture Capital Funds,FCR Novabase Inovação e Internacionalização,Investment,Targeted companies (startups),"CITY PULSE, LDA",1,2014,
Venture Capital Funds,FCR Novabase Inovação e Internacionalização,Investment,Targeted companies (startups),"BRIGHT INNOVATION, LDA",1,2012,
Venture Capital Funds,FCR Novabase Inovação e Internacionalização,Investment,Targeted companies (startups),"DTV RESEARCH, UNIPESSOAL LDA",1,2012,2014
Venture Capital Funds,FCR Novabase Inovação e Internacionalização,Investment,Targeted companies (startups),"LIVIAN TECHNOLOGIES, LDA",1,2014,
Venture Capital Funds,FCR Critical Ventures I,Investment,Targeted companies (startups),"RETMARKER, S.A.",1,2011,
Venture Capital Funds,FCR Critical Ventures I,Investment,Targeted companies (startups),"BLUECARING - SISTEMAS DE MONITORIZAÇÃO, S.A.",1,2014,
Venture Capital Funds,FCR Critical Ventures I,Investment,Targeted companies (startups),"CBRA GENOMICS, S.A.",1,2013,
Venture Capital Funds,FCR Critical Ventures I,Investment,Targeted companies (startups),"CRITICAL MATERIALS, S.A.",1,2011,
Venture Capital Funds,FCR Portugal Ventures Valor,Investment,Targeted companies (startups),BIOSURFIT S.A.,1,2006,
Venture Capital Funds,Fundo de Capital de Risco para Investidores Qualificados PME Investimentos TIEC,Investment,Targeted companies (startups),BIOSURFIT S.A.,1,2004,
Targeted companies (startups),"FABER VENTURES, S.A.",Investment,Targeted companies (startups),"UNBABEL, INC.",1,2014,
Targeted companies (startups),"FABER VENTURES, S.A.",Investment,Targeted companies (startups),"PASSWORKS, S.A.",1,2014,
Targeted companies (startups),"FABER VENTURES, S.A.",Investment,Targeted companies (startups),"QAMINE PORTUGAL, S.A",1,2013,
Targeted companies (startups),"FABER VENTURES, S.A.",Investment,Targeted companies (startups),QAMINE LIMITED,1,2015,
Targeted companies (startups),"FABER VENTURES, S.A.",Investment,Targeted companies (startups),"YOUNGSTORIES, S.A.",1,2013,
Targeted companies (startups),"FABER VENTURES, S.A.",Investment,Targeted companies (startups),"CHIC BY CHOICE, S.A.",1,2014,
Targeted companies (startups),"FABER VENTURES, S.A.",Investment,Targeted companies (startups),"ALTURA PUBLISHING, S.A.",1,2014,
Targeted companies (startups),"FABER VENTURES, S.A.",Investment,Targeted companies (startups),"LIQUID DATA INTELLIGENCE, S.A.",1,2014,
Targeted companies (startups),"FABER VENTURES, S.A.",Investment,Targeted companies (startups),"GLEAM, S.A.",1,2013,
Targeted companies (startups),"FABER VENTURES, S.A.",Investment,Targeted companies (startups),"GETSOCIAL, S.A.",1,2013,
Targeted companies (startups),ALFAMA INC.,Investment,Targeted companies (startups),ALFAMA - INVESTIGAÇÃO E DESENVOLVIMENTO DE PRODUTOS FARMACÊUTICOS LDA,1,2013,2014
Venture Capital Funds,FCR FAI Energias,Investment,Targeted companies (startups),"WINDPLUS, S.A.",1,2009,
Venture Capital Funds,PME Investimentos – Sociedade de Investimento S.A.,Management entity (or controlling entity),Venture Capital Funds,Fundo de Sindicação de Capital de Risco PME – IAPMEI (“FSCR PME IAPMEI”),1,2003,
Venture Capital Funds,Fundo de Capital de Risco Portugal Ventures,Investment,Targeted companies (startups),"MAGNOMICS, S.A.",1,2014,2014
Venture Capital Funds,Fundo de Capital de Risco Portugal Ventures,Investment,Targeted companies (startups),"MAGNOMICS, S.A.",1,1993,2014
Venture Capital Funds,Oxy Capital Fundo Mezzanine,Investment,Targeted companies (startups),"NONIUSSOFT, SOFTWARE E CONSULTORIA PARA TELECOMUNICAÇÕES, S.A.",1,2015,
Venture Capital Funds,FCR Portugal Ventures,Investment,Targeted companies (startups),"PROCESSWARE - SOLUÇÕES INFORMÁTICAS, S.A.",1,2014,
Venture Capital Funds,FCR Revitalizar Norte,Investment,Targeted companies (startups),NMUSIC S.A.,1,2013,
Venture Capital Funds,FCR ESV III,Investment,Targeted companies (startups),SafetyPay,1,2008,
Venture Capital Funds,FCR ESV III,Investment,Targeted companies (startups),Spectrum Bridge,1,2008,
Venture Capital Funds,FCR ESV III,Investment,Targeted companies (startups),Ubiquity Global Services,1,2012,
Venture Capital Funds,FCR ESV III,Investment,Targeted companies (startups),"NUTRIGREEN, S.A.",1,2009,
Venture Capital Funds,FCR ESV III,Investment,Targeted companies (startups),Petra Systems,1,2010,
Venture Capital Funds,FCR ESV III,Investment,Targeted companies (startups),"QAMINE PORTUGAL, S.A",1,2013,
Venture Capital Funds,FCR ESV III,Investment,Targeted companies (startups),Watson Brown,1,2008,
Venture Capital Funds,FCR ESV III,Investment,Targeted companies (startups),"DOMATICA ­ GLOBAL SOLUTIONS, S.A.",1,2011,
Venture Capital Funds,FCR ESV III,Investment,Targeted companies (startups),Current,1,2011,2013
Venture Capital Funds,FCR ESV III,Investment,Targeted companies (startups),A123Systems,1,2009,2012
Venture Capital Funds,FCR ESV III,Investment,Targeted companies (startups),"ADVANCED CYCLONE SYSTEMS, S.A.",1,2009,
Venture Capital Funds,FCR ESV III,Investment,Targeted companies (startups),JDCPhosphate,1,2012,
Venture Capital Funds,FCR ESV III,Investment,Targeted companies (startups),"MUZZLEY, S.A.",1,2012,
Venture Capital Funds,FCR ESV III,Investment,Targeted companies (startups),"MUZZLEY, S.A.",1,2012,
Venture Capital Funds,FCR ESV III,Investment,Targeted companies (startups),"MUZZLEY, S.A.",1,2012,
Venture Capital Funds,FCR ESV III,Investment,Targeted companies (startups),MAGPOWER - SOLUÇÕES DE ENERGIA S.A.,1,2011,
Venture Capital Funds,FCR Fast Change II,Investment,Targeted companies (startups),STREAMBOLICO S.A.,1,2013,
Venture Capital Funds,FCR Fast Change II,Investment,Targeted companies (startups),"SWORD HEALTH, S.A",1,2014,
Venture Capital Funds,FCR Fast Change II,Investment,Targeted companies (startups),"CELL2B - ADVANCED THERAPEUTICS, S.A.",1,2012,
Venture Capital Funds,FCR Fast Change II,Investment,Targeted companies (startups),"EIDT - ENGENHARIA, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO, S.A.",1,2012,
Venture Capital Funds,FCR Fast Change II,Investment,Targeted companies (startups),"CONVERDE, S.A.",1,2012,
Venture Capital Funds,FCR Fast Change II,Investment,Targeted companies (startups),"5ENSESINFOOD, S.A.",1,2013,
Venture Capital Funds,FCR Fast Change II,Investment,Targeted companies (startups),"BIOMODE 2, S.A.",1,2014,
Venture Capital Funds,FCR Fast Change II,Investment,Targeted companies (startups),"EXOGENUS THERAPEUTICS, S.A.",1,2015,
Venture Capital Funds,Fundo de Capital de Risco Portugal Ventures Global 2,Investment,Targeted companies (startups),"SCIENCE4YOU, S.A.",1,2012,
Venture Capital Funds,Fundo de Capital de Risco Portugal Ventures Global 2,Investment,Targeted companies (startups),"BRIGHTWIZARD, S.A",1,2015,
Venture Capital Funds,Fundo de Capital de Risco Portugal Ventures Global 2,Investment,Targeted companies (startups),"BICA STUDIOS, S.A.",1,2015,
Venture Capital Funds,FCR Empreender Mais,VC Fundraising,Venture Capital Funds,FCR Portugal Ventures Universitas,1,2011,
Venture Capital Funds,FCR Empreender Mais,Investment,Targeted companies (startups),STEMMATTERS - BIOTECNOLOGIA E MEDICINA REGENERATIVA S.A.,1,2011,
Venture Capital Funds,FCR Empreender Mais,Investment,Targeted companies (startups),"NONIUSSOFT, SOFTWARE E CONSULTORIA PARA TELECOMUNICAÇÕES, S.A.",1,2011,2015
Venture Capital Funds,FCR Empreender Mais,Investment,Targeted companies (startups),"CHANGING EXPERIENCE, S.A.",1,2013,
Venture Capital Funds,FCR Empreender Mais,Investment,Targeted companies (startups),BIOSURFIT S.A.,1,2006,
Venture Capital Funds,FCR Empreender Mais,Investment,Targeted companies (startups),"MOVVO, S.A.",1,2011,
Venture Capital Funds,FCR Empreender Mais,Investment,Targeted companies (startups),"GUESTCENTRIC SYSTEMS, S.A.",1,2007,
Venture Capital Funds,FCR Caixa Tech Transfer Accelerator Ventures,Investment,Targeted companies (startups),"PLUX - WIRELESS BIOSIGNALS, S.A.",1,2011,
Venture Capital Funds,FCR Caixa Tech Transfer Accelerator Ventures,Investment,Targeted companies (startups),"CHANGING EXPERIENCE, S.A.",1,2013,
Venture Capital Funds,FCR Caixa Tech Transfer Accelerator Ventures,Investment,Targeted companies (startups),"BIOMIMETX,S.A.",1,2015,
Venture Capital Funds,FCR Beta Early Stages,Investment,Targeted companies (startups),"CRIVO INVESTIGAÇÃO APLICADA, S.A.",1,2008,
Venture Capital Funds,FCR Beta Early Stages,Investment,Targeted companies (startups),BIOSURFIT S.A.,1,2006,
Venture Capital Funds,Fundo de Sindicação de Capital de Risco PME ­IAPMEI,Investment,Targeted companies (startups),BIOSURFIT S.A.,1,2006,
Venture Capital Funds,FCR Capital Criativo I,Investment,Targeted companies (startups),"USC INTERNACIONAL, S.A.",1,2011,
Venture Capital Funds,FCR Capital Criativo I,Investment,Targeted companies (startups),"CARDMOBILI DESENVOLVIMENTO DE SOFTWARE, S.A.",1,2013,
Venture Capital Funds,FCR Capital Criativo I,Investment,Targeted companies (startups),E.A.D. - EMPRESA DE ARQUIVO DE DOCUMENTAÇÃO S.A.,1,2014,
