From Type,From Name,Edge,To Type,To Name,Weight,starting date,ending date
Venture Capital Funds,FCR Capital Criativo I,Investment,Targeted companies (startups),"CORTEX INTELLIGENCE TECNOLOGIA, LDA",1,2012,
Venture Capital Funds,FCR Capital Criativo I,Investment,Targeted companies (startups),BALFLEX PORTUGAL - COMPONENTES HIDRÁULICOS E INDUSTRIAIS S.A.,1,2014,
Venture Capital Funds,FCR Capital Criativo I,Investment,Targeted companies (startups),LIVE CONTENT S.A,1,2011,2014
Venture Capital Funds,FCR Capital Criativo I,Investment,Targeted companies (startups),"ISA - INTELLIGENT SENSING ANYWHERE, S.A.",1,2011,
Venture Capital Funds,FCR Capital Criativo I,Investment,Targeted companies (startups),"GO BIZ, VIAGENS E TURISMO, S.A.",1,2012,
Venture Capital Funds,FCR ESV Inovação & Internacionalização,Investment,Targeted companies (startups),"SAKPROJECT INTERNATIONAL, S.A",1,2012,
Venture Capital Funds,FCR ESV Inovação & Internacionalização,Investment,Targeted companies (startups),"STOCK BEATS, S.A.",1,2014,
Venture Capital Funds,FCR ESV Inovação & Internacionalização,Investment,Targeted companies (startups),NUTRI VENTURES CORPORATION - NVC S.A.,1,2010,
Venture Capital Funds,FCR ESV Inovação & Internacionalização,Investment,Targeted companies (startups),"BW - BRIDGES WORLDWIDE HOLDING, SGPS, S.A.",1,2011,
Venture Capital Funds,FCR ESV Inovação & Internacionalização,Investment,Targeted companies (startups),"BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.",1,2006,
Venture Capital Funds,FCR ESV Inovação & Internacionalização,Investment,Targeted companies (startups),"HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.",1,2013,
Venture Capital Funds,FCR ESV Inovação & Internacionalização,Investment,Targeted companies (startups),"LUSOEDUC - INFORMAÇÃO E SERVIÇOS, S.A.",1,2012,
Venture Capital Funds,FCR ESV Inovação & Internacionalização,Investment,Targeted companies (startups),"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",1,2011,
Venture Capital Funds,Fundo de Capital de Risco AICEP­ Capital Global Grande Projectos de Investimento,Investment,Targeted companies (startups),"BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.",1,2006,
Venture Capital Funds,Fundo de Capital de Risco AICEP Capital Global III,Investment,Targeted companies (startups),"BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.",1,2006,
Venture Capital Funds,Fundo de Capital de Risco Dinamização Turística,Investment,Targeted companies (startups),"BGUESTNOW, S.A.",1,2015,
Venture Capital Funds,Fundo de Capital de Risco Dinamização Turística,Investment,Targeted companies (startups),"INDIE CAMPERS, S.A.",1,2015,
Venture Capital Funds,Fundo de Capital de Risco Dinamização Turística,Investment,Targeted companies (startups),"EXCITING SPACE, S.A.",1,2015,
Venture Capital Funds,FCR Portugal Ventures Early Stages,Investment,Targeted companies (startups),STREAMBOLICO S.A.,1,2013,
Venture Capital Funds,FCR Portugal Ventures Early Stages,Investment,Targeted companies (startups),"PETSYS ELECTRONICS - MEDICAL PET DETECTORS,",1,2013,
Venture Capital Funds,FCR Portugal Ventures Early Stages,Investment,Targeted companies (startups),"YOUNGSTORIES, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Early Stages,Investment,Targeted companies (startups),"WHIZZTEK, S.A. - EM LIQUIDAÇÃO",1,2014,2015
Venture Capital Funds,FCR Portugal Ventures Early Stages,Investment,Targeted companies (startups),"WEBANKOR, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Early Stages,Investment,Targeted companies (startups),"CUBO ENVIRONMENTAL TECHNOLOGIES, S.A.",1,2015,
Venture Capital Funds,FCR Portugal Ventures Early Stages,Investment,Targeted companies (startups),"AMANHÃ GLOBAL, S.A.",1,2014,
Venture Capital Funds,FCR Portugal Ventures Early Stages,Investment,Targeted companies (startups),"LIQUID DATA INTELLIGENCE, S.A.",1,2014,
Venture Capital Funds,FCR Portugal Ventures Early Stages,Investment,Targeted companies (startups),MORNING HEROES S.A.,1,2015,
Venture Capital Funds,FCR Portugal Ventures Early Stages,Investment,Targeted companies (startups),"GREENFIBER TECH, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,Targeted companies (startups),"SCIENCE4YOU, S.A.",1,2012,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,Targeted companies (startups),"SHIFTFORWARD, S.A.",1,2014,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,Targeted companies (startups),"TUIZZI, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,Targeted companies (startups),NUTRI VENTURES CORPORATION - NVC S.A.,1,2010,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,Targeted companies (startups),"WIZDEE-SISTEMAS DE GESTÃO DE CONHECIMENTO, S.A.",1,2014,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,Targeted companies (startups),"APTOIDE, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,Targeted companies (startups),"BLOOMERS, S.A.",1,2015,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,Targeted companies (startups),"BEYONDEVICES, S.A.",1,2015,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,Targeted companies (startups),"JSCRAMBLER, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,Targeted companies (startups),"KINEMATIX SENSE, S.A.",1,2008,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,Targeted companies (startups),"KINEMATIX SENSE, S.A.",1,2008,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,Targeted companies (startups),"KINEMATIX SENSE, S.A.",1,2008,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,Targeted companies (startups),"MOODOPTIC, S.A.",1,2014,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,Targeted companies (startups),"EPEDAL, SGPS S.A.",1,2015,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,Targeted companies (startups),"GRAPHENEST, S.A.",1,2015,
Venture Capital Funds,FCR Portugal Ventures Universitas,Investment,Targeted companies (startups),"PASSWORKS, S.A.",1,2014,
Venture Capital Funds,FCR Portugal Ventures Universitas,Investment,Targeted companies (startups),"PETSYS ELECTRONICS - MEDICAL PET DETECTORS,",1,2013,
Venture Capital Funds,FCR Portugal Ventures Universitas,Investment,Targeted companies (startups),"PEPFEED, S,A",1,2015,
Venture Capital Funds,FCR Portugal Ventures Universitas,Investment,Targeted companies (startups),"YOUNGSTORIES, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Universitas,Investment,Targeted companies (startups),"APTOIDE, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Universitas,Investment,Targeted companies (startups),"BABYBOOK, S.A.",1,2014,
Venture Capital Funds,FCR Portugal Ventures Universitas,Investment,Targeted companies (startups),"FUNCTIONAL ENVIROMICS TECHNOLOGIES, S.A.",1,2013,
Venture Capital Funds,FCR ESV II,Investment,Targeted companies (startups),"SOUSACAMP, SGPS S.A.",1,2007,
Venture Capital Funds,FCR ESV II,Investment,Targeted companies (startups),Superbac,1,2007,
Venture Capital Funds,FCR ESV II,Investment,Targeted companies (startups),Ultracell,1,2009,
Venture Capital Funds,FCR ESV II,Investment,Targeted companies (startups),TxVia,1,2009,2012
Venture Capital Funds,FCR ESV II,Investment,Targeted companies (startups),Nanosolar,1,2006,
Venture Capital Funds,FCR ESV II,Investment,Targeted companies (startups),Ophtalmopharma,1,2007,
Venture Capital Funds,FCR ESV II,Investment,Targeted companies (startups),Oceanlinx,1,2008,
Venture Capital Funds,FCR ESV II,Investment,Targeted companies (startups),"OUTSYSTEMS - SOFTWARE EM REDE, S.A.",1,2007,
Venture Capital Funds,FCR ESV II,Investment,Targeted companies (startups),Prepaid Media,1,2005,
Venture Capital Funds,FCR ESV II,Investment,Targeted companies (startups),"YDREAMS - INFORMÁTICA, S.A.",1,2006,
Venture Capital Funds,FCR ESV II,Investment,Targeted companies (startups),"YD YNVISIBLE, S.A.",1,2013,
Venture Capital Funds,FCR ESV II,Investment,Targeted companies (startups),"COREWORKS - PROJECTOS DE CIRCUITOS E SISTEMAS ELECTRÓNICOS, S.A.",1,2006,
Venture Capital Funds,FCR ESV II,Investment,Targeted companies (startups),Atraverda,1,2007,
Venture Capital Funds,FCR ESV II,Investment,Targeted companies (startups),AquaSpy,1,2007,
Venture Capital Funds,FCR ESV II,Investment,Targeted companies (startups),"AUGRPUBLISHER, S.A",1,2014,
Venture Capital Funds,FCR ESV II,Investment,Targeted companies (startups),Iosil Energy,1,2012,
Venture Capital Funds,FCR ESV II,Investment,Targeted companies (startups),"HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.",1,2013,
Venture Capital Funds,FCR ESV II,Investment,Targeted companies (startups),"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",1,2011,
Venture Capital Funds,FCR ESV II,Investment,Targeted companies (startups),"GLOBAL ACTIVE, GESTÃO DE PARTICIPAÇÕES SOCIAIS, SGPS S.A.",1,2006,
Venture Capital Funds,FCR FIAEA ­ Fundo de Investimento de Apoio ao Empreendorismo dos Açores,Investment,Targeted companies (startups),"ASINUS ATLANTICUS, S.A.",1,2014,
Venture Capital Funds,FCR ASK Celta,Investment,Targeted companies (startups),"TORBEL, S.A.",1,2014,
Venture Capital Funds,FCR ASK Celta,Investment,Targeted companies (startups),"PETAPILOT, S.A.",1,2015,
Venture Capital Funds,FCR ASK Celta,Investment,Targeted companies (startups),"ATP- ATLÂNTICO TRADE PARTNERS - IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS ALIMENTARES, LDA",1,2011,
Venture Capital Funds,FCR ASK Celta,Investment,Targeted companies (startups),"GUM CHEMICAL SOLUTIONS, S.A.",1,2015,
Venture Capital Funds,FCR PV ACTEC,VC Fundraising,Venture Capital Funds,FCR Portugal Ventures ACTEC II,1,2011,2014
Venture Capital Funds,FCR PV ACTEC,Investment,Targeted companies (startups),"OMNIFLOW, S.A",1,2012,2014
Venture Capital Funds,FCR PV ACTEC,Investment,Targeted companies (startups),PHARMA73 S.A.,1,2011,2014
Venture Capital Funds,FCR PV ACTEC,Investment,Targeted companies (startups),"XHOCKWARE, S.A.",1,2014,2014
Venture Capital Funds,FCR PV ACTEC,Investment,Targeted companies (startups),"ABYSSAL, S.A.",1,2012,2014
Venture Capital Funds,FCR PV ACTEC,Investment,Targeted companies (startups),"BIOMODE - BIOMOLECULAR DETERMINATION, S.A.",1,2011,2014
Venture Capital Funds,FCR PV ACTEC,Investment,Targeted companies (startups),"LYMPHACT - LYMPHOCYTE ACTIVATION TECHNOLOGIES, S.A.",1,2013,2014
Venture Capital Funds,FCR Minho Inovação e Internacionalização,Investment,Targeted companies (startups),"SPHERE ULTRAFAST PHOTONICS, S.A.",1,2014,
Venture Capital Funds,FCR Minho Inovação e Internacionalização,Investment,Targeted companies (startups),"TOP RESEARCH, S.A.",1,2015,
Venture Capital Funds,FCR Minho Inovação e Internacionalização,Investment,Targeted companies (startups),"WATT-IS, S.A.",1,2015,
Venture Capital Funds,FCR Minho Inovação e Internacionalização,Investment,Targeted companies (startups),WISE CONNECT S.A.,1,2014,
Venture Capital Funds,FCR Minho Inovação e Internacionalização,Investment,Targeted companies (startups),"DOCTORGUMMY, LDA",1,2014,
Venture Capital Funds,FCR Minho Inovação e Internacionalização,Investment,Targeted companies (startups),"ADDVOLT, S.A.",1,2014,
Venture Capital Funds,FCR Minho Inovação e Internacionalização,Investment,Targeted companies (startups),"BIOMODE 2, S.A.",1,2014,
Venture Capital Funds,FCR Minho Inovação e Internacionalização,Investment,Targeted companies (startups),"MOBIQUEUE, S.A.",1,2014,
Venture Capital Funds,FCR Minho Inovação e Internacionalização,Investment,Targeted companies (startups),FÓRMULA DA AVÓ - LDA,1,2013,
Venture Capital Funds,Fundo de Capital de Risco Portugal Ventures Valor 2,Investment,Targeted companies (startups),"MUZZLEY, S.A.",1,2012,
Venture Capital Funds,Fundo de Capital de Risco Portugal Ventures Valor 2,Investment,Targeted companies (startups),"BYCLOSURE, S.A.",1,2015,
Venture Capital Funds,Fundo de Capital de Risco Portugal Ventures Valor 2,Investment,Targeted companies (startups),"ALTURA PUBLISHING, S.A.",1,2014,
Venture Capital Funds,Fundo de Capital de Risco Portugal Ventures Valor 2,Investment,Targeted companies (startups),"ADFAMILIES PUBLICIDADE, S.A.",1,2015,
Venture Capital Funds,Fundo de Capital de Risco Portugal Ventures Valor 2,Investment,Targeted companies (startups),"IMMUNETHEP, S.A.",1,2015,
Venture Capital Funds,FCR ASK Capital,Investment,Targeted companies (startups),"TURFLYNX, LDA",1,2014,
Venture Capital Funds,FCR ASK Capital,Investment,Targeted companies (startups),"ECT - BUSINESS OPORTUNITY, COMPRA E VENDA DE VIATURAS, LDA",1,2014,
Venture Capital Funds,FCR ASK Capital,Investment,Targeted companies (startups),"ALTAKITIN, S.A.",1,2011,
Venture Capital Funds,FCR ASK Capital,Investment,Targeted companies (startups),"BABYBOOK, S.A.",1,2014,
Venture Capital Funds,FCR ASK Capital,Investment,Targeted companies (startups),"GREENFIBER TECH, S.A.",1,2013,
SPV´s,"SharkAB ­ Consultores, Lda",Investment,Targeted companies (startups),"CELL2B - ADVANCED THERAPEUTICS, S.A.",1,2012,
SPV´s,Magnum Capital Partners,Investment,Targeted companies (startups),"CELL2B - ADVANCED THERAPEUTICS, S.A.",1,2012,
SPV´s,"Busy Angels, SGPS",Investment,Targeted companies (startups),"SAKPROJECT INTERNATIONAL, S.A",1,2012,
SPV´s,"Busy Angels, SGPS",Investment,Targeted companies (startups),"ZUVI NOVA, S.A.",1,2011,
SPV´s,"Busy Angels, SGPS",Investment,Targeted companies (startups),"YOUNGSTORIES, S.A.",1,2013,
SPV´s,"Busy Angels, SGPS",Investment,Targeted companies (startups),"WEBANKOR, S.A.",1,2013,
SPV´s,"Busy Angels, SGPS",Investment,Targeted companies (startups),"XHOCKWARE, S.A.",1,2014,
SPV´s,"Busy Angels, SGPS",Investment,Targeted companies (startups),"LASERLEAP TECHNOLOGIES,S.A.",1,2013,
SPV´s,"Busy Angels, SGPS",Investment,Targeted companies (startups),"ICLIO, S.A.",1,2014,
SPV´s,"Busy Angels, SGPS",Investment,Targeted companies (startups),"LUSOEDUC - INFORMAÇÃO E SERVIÇOS, S.A.",1,2012,
SPV´s,"Busy Angels, SGPS",Investment,Targeted companies (startups),"LYMPHACT - LYMPHOCYTE ACTIVATION TECHNOLOGIES, S.A.",1,2013,
SPV´s,"Busy Angels, SGPS",Investment,Targeted companies (startups),"FASTINOV, S.A.",1,2015,
SPV´s,"Busy Angels, SGPS",Investment,Targeted companies (startups),"FAIRWAY, MEDICAL TOURISM PORTUGAL, S.A.",1,2013,
SPV´s,"Busy Angels, SGPS",Investment,Targeted companies (startups),"FABER VENTURES, S.A.",1,2013,
SPV´s,"Gegnum ­Gestão e Investimentod, lda",Investment,Targeted companies (startups),"BIOMODE 2, S.A.",1,2014,
SPV´s,"Intercapital ­Investimento e Gestão de Activos, S.A.",Investment,Targeted companies (startups),"PLUX - WIRELESS BIOSIGNALS, S.A.",1,2011,
SPV´s,"Intercapital ­Investimento e Gestão de Activos, S.A.",Investment,Targeted companies (startups),"CHANGING EXPERIENCE, S.A.",1,2013,
SPV´s,"Intercapital ­Investimento e Gestão de Activos, S.A.",Investment,Targeted companies (startups),"BIOMIMETX,S.A.",1,2015,
SPV´s,"Binteractive, Lda",Investment,Targeted companies (startups),"AUGRPUBLISHER, S.A",1,2014,
SPV´s,"Faber Investments,SGPS",Investment,Targeted companies (startups),"ALTURA PUBLISHING, S.A.",1,2014,
SPV´s,BrainInvest,Investment,Targeted companies (startups),"5ENSESINFOOD, S.A.",1,2013,
SPV´s,"IA - FCI Ciências da Vida SGPS, SA",Investment,Targeted companies (startups),"5ENSESINFOOD, S.A.",1,2013,
SPV´s,"IA - FCI Ciências da Vida SGPS, SA",Investment,Targeted companies (startups),"BIOMODE 2, S.A.",1,2014,
SPV´s,"Tagus Innovation for Growth SGPS, SA",Investment,Targeted companies (startups),"FABER VENTURES, S.A.",1,2013,
SPV´s,"TEX Risco, SGPS, SA",Investment,Targeted companies (startups),"ECOFOOT, S.A.",1,2013,
SPV´s,"A2B, SGPS",Investment,Targeted companies (startups),"EQUIGERMINAL, S.A.",1,2012,
SPV´s,"Capital Disperso, LDA",Investment,Targeted companies (startups),"DOCTORGUMMY, LDA",1,2014,
SPV´s,Vallis Sustainable Investments I,Investment,Targeted companies (startups),"DOCTORGUMMY, LDA",1,2014,
SPV´s,Critical SGPS (holding),Investment,Targeted companies (startups),"WFSW, S.A.",1,2012,
SPV´s,Critical SGPS (holding),Investment,Targeted companies (startups),CRITICAL LINKS S.A.,1,2007,
SPV´s,"Fast Sharks Invest, LDA",Investment,Targeted companies (startups),"DOCTORGUMMY, LDA",1,2014,
SPV´s,"The Edge, SGPS S.A",Investment,Targeted companies (startups),"CHIC BY CHOICE, S.A.",1,2014,
SPV´s,"SMARTEQUITY SGPS, LDA",Investment,Targeted companies (startups),"CHANGING EXPERIENCE, S.A.",1,2013,
SPV´s,"Vallis ­ SGPS, S.A.",Management entity (or controlling entity),SPV´s,Vallis Sustainable Investments I,1,2011,
SPV´s,"Vallis ­ SGPS, S.A.",Investment,Targeted companies (startups),"CELL2B - ADVANCED THERAPEUTICS, S.A.",1,2012,
SPV´s,"Shilling Capital Partners, SGPS, Lda",Investment,Targeted companies (startups),"YOUNGSTORIES, S.A.",1,2013,
SPV´s,"Shilling Capital Partners, SGPS, Lda",Investment,Targeted companies (startups),UNIPLACES LIMITED,1,2013,
SPV´s,"Shilling Capital Partners, SGPS, Lda",Investment,Targeted companies (startups),"UNBABEL, INC.",1,2014,
SPV´s,"Shilling Capital Partners, SGPS, Lda",Investment,Targeted companies (startups),"UNIVERSITYPLACES, SERVIÇOS DE INTERNET, LDA",1,2012,
SPV´s,"Shilling Capital Partners, SGPS, Lda",Investment,Targeted companies (startups),"CELL2B - ADVANCED THERAPEUTICS, S.A.",1,2012,
SPV´s,"Shilling Capital Partners, SGPS, Lda",Investment,Targeted companies (startups),"FABER VENTURES, S.A.",1,2013,
Targeted companies (startups),"VENIAM, INC.",Management entity (or controlling entity),Targeted companies (startups),"VENIAM, UNIPESSOAL LDA",1,2012,
Targeted companies (startups),UNIPLACES LIMITED,Investment,Targeted companies (startups),"UNIVERSITYPLACES, SERVIÇOS DE INTERNET, LDA",1,2012,
Targeted companies (startups),"YDREAMS - INFORMÁTICA, S.A.",Investment,Targeted companies (startups),"YD YNVISIBLE, S.A.",1,2013,
SPV´s,Brains2Market,Investment,Targeted companies (startups),"ZUVI NOVA, S.A.",1,2011,
SPV´s,"Talent Minds,Lda",Investment,Targeted companies (startups),"ZARPH, S.A.",1,2013,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",VC Fundraising,Venture Capital Funds,FCR ISTART I,1,2011,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",VC Fundraising,Venture Capital Funds,FCR F-HITEC,1,2008,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",VC Fundraising,Venture Capital Funds,FCR Empreender Mais,1,2009,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",VC Fundraising,Venture Capital Funds,FCR Caixa Tech Transfer Accelerator Ventures,1,2015,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Investment,Targeted companies (startups),"SMARTWATT - ENERGY SERVICES, S.A.",1,2009,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Investment,Targeted companies (startups),Orankl,1,2014,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Investment,Targeted companies (startups),QAMINE LIMITED,1,2015,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR Caixa Tech Transfer Accelerator Ventures,1,2015,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR Empreender Mais,1,2009,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Investment,Targeted companies (startups),"UNBABEL, INC.",1,2014,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Investment,Targeted companies (startups),"VENIAM, INC.",1,2014,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Investment,Targeted companies (startups),UNIPLACES LIMITED,1,2013,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Investment,Targeted companies (startups),"D-ORBIT PT, LDA",1,2014,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Investment,Targeted companies (startups),"ALLIS UBBO INFORMATION SYSTEMS, LDA",1,2015,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Investment,Targeted companies (startups),Farfetch UK Limited,1,2005,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Investment,Targeted companies (startups),"EXOGENUS THERAPEUTICS, S.A.",1,2015,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"FOLLOWPRICE, S.A.",1,2015,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"FOLLOW INSPIRATION, S.A.",1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),GENIBET BIOPHARMACEUTICALS S.A.,1,2006,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"GUESTCENTRIC SYSTEMS, S.A.",1,2007,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"LYMPHACT - LYMPHOCYTE ACTIVATION TECHNOLOGIES, S.A.",1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"MAGNOMICS, S.A.",1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),INVINE,1,2015,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),BIOSURFIT S.A.,1,2004,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),BitSight Technologies,1,2015,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),BIOTREND - INOVAÇÃO E ENGENHARIA EM BIOTECNOLOGIA S.A.,1,2006,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"BIOMODE - BIOMOLECULAR DETERMINATION, S.A.",1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"ABYSSAL, S.A.",1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),ALFAMA - INVESTIGAÇÃO E DESENVOLVIMENTO DE PRODUTOS FARMACÊUTICOS LDA,1,2013,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"CSIDE - SOLUÇÕES INTELIGENTES, S.A.",1,2008,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),CRITICAL LINKS S.A.,1,2007,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"ENEIDA, WIRELESS & SENSORS, S.A.",1,2012,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"DISPLAX, S.A.",1,2008,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"CHIC BY CHOICE, S.A.",1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),Code Place (Songvice B.V.),1,2015,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"WIZI TO FIND, S.A.",1,2006,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"XHOCKWARE, S.A.",1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"ZUVI NOVA, S.A.",1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Other,Principle Power Unipessoal LDA,1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),PHARMA73 S.A.,1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"OUTSYSTEMS - SOFTWARE EM REDE, S.A.",1,2007,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"OMNIFLOW, S.A",1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"SKAPHANDRUS, S.A. - EM LIQUIDAÇÃO",1,2014,2016
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),Venture Capital Funds,Fundo de Capital de Risco Dinamização Turística,1,2009,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR Portugal Ventures Internacionalização,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR Portugal Ventures Indústrias Criativas,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR Portugal Ventures Universitas,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR Portugal Ventures Turismo Inovação,1,2011,
