Type,Name,Description,Image,Reference,NACE,Country,starting date,ending date
Targeted companies (startups),"ZUVI NOVA, S.A.",,,,J - Information and communication,PT,2009,
SPV´s,"Tagus Innovation for Growth SGPS, SA",,,,K - Financial and insurance activities,PT,2010,
SPV´s,"TEX Risco, SGPS, SA",,,,K - Financial and insurance activities,PT,2010,
SPV´s,"A2B, SGPS",,,,K - Financial and insurance activities,PT,2010,
SPV´s,"Capital Disperso, LDA",,,,K - Financial and insurance activities,PT,2015,
SPV´s,Vallis Sustainable Investments I,,,,K - Financial and insurance activities,PT,2011,
SPV´s,Critical SGPS (holding),,,,K - Financial and insurance activities,PT,2007,
SPV´s,"Fast Sharks Invest, LDA",,,,"M - Professional, scientific and technical activities",PT,2015,
SPV´s,"The Edge, SGPS S.A",,,,K - Financial and insurance activities,PT,2014,
SPV´s,"SMARTEQUITY SGPS, LDA",,,,K - Financial and insurance activities,PT,2013,
SPV´s,"Vallis ­ SGPS, S.A.",,,,K - Financial and insurance activities,PT,2012,
SPV´s,"Shilling Capital Partners, SGPS, Lda",,,,K - Financial and insurance activities,PT,2010,
Targeted companies (startups),"WEBANKOR, S.A.",,,,J - Information and communication,PT,2012,
Targeted companies (startups),"WFSW, S.A.",,,,J - Information and communication,PT,2012,
Targeted companies (startups),"WEDELIVERAWESOMEAPPS, S.A.",,,,J - Information and communication,PT,2013,
Targeted companies (startups),Watson Brown,,,,Foreign Company,USA,1997,
Targeted companies (startups),WATCHFUL SOFTWARE,,,,Foreign Company,USA,2012,
Targeted companies (startups),"WATT-IS, S.A.",,,,"M - Professional, scientific and technical activities",PT,2012,
Targeted companies (startups),"VENIAM, INC.",,,,Foreign Company,USA,2012,
Targeted companies (startups),"VENIAM, UNIPESSOAL LDA",,,,J - Information and communication,PT,2012,
Targeted companies (startups),UNIPLACES LIMITED,,,,J - Information and communication,UK,2013,
Targeted companies (startups),"USC INTERNACIONAL, S.A.",,,,J - Information and communication,PT,2011,
Targeted companies (startups),"UNIVERSITYPLACES, SERVIÇOS DE INTERNET, LDA",,,,J - Information and communication,PT,2011,
Targeted companies (startups),"YOUNGSTORIES, S.A.",,,,J - Information and communication,PT,2011,
Targeted companies (startups),"ZARPH, S.A.",,,,"M - Professional, scientific and technical activities",PT,2009,
Targeted companies (startups),"XHOCKWARE, S.A.",,,,J - Information and communication,PT,2014,
Targeted companies (startups),"YD YNVISIBLE, S.A.",,,,"M - Professional, scientific and technical activities",PT,2010,
Targeted companies (startups),"YDREAMS - INFORMÁTICA, S.A.",,,,J - Information and communication,PT,2000,
Targeted companies (startups),WISE CONNECT S.A.,,,,J - Information and communication,PT,2014,
Targeted companies (startups),"WIZDEE-SISTEMAS DE GESTÃO DE CONHECIMENTO, S.A.",,,,J - Information and communication,PT,2009,
Targeted companies (startups),"WIZI TO FIND, S.A.",,,,J - Information and communication,PT,2006,
Targeted companies (startups),"WHIZZTEK, S.A. - EM LIQUIDAÇÃO",,,,J - Information and communication,PT,2012,2015
Targeted companies (startups),"WINDPLUS, S.A.",,,,"M - Professional, scientific and technical activities",PT,2009,
SPV´s,Brains2Market,,,,"M - Professional, scientific and technical activities",PT,2010,
SPV´s,"Talent Minds,Lda",,,,"M - Professional, scientific and technical activities",PT,2013,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",,,,K - Financial and insurance activities,PT,2003,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",,,,K - Financial and insurance activities,PT,2003,
SPV´s,BrainCapital,,,,"M - Professional, scientific and technical activities",PT,2010,
SPV´s,"New Ventures SGPS, SA",,,,K - Financial and insurance activities,PT,2010,
SPV´s,"FJR, SGPS, S.A",,,,K - Financial and insurance activities,PT,2006,
SPV´s,"Agro Consultores,Lda",,,,"M - Professional, scientific and technical activities",PT,2013,
SPV´s,"A. Silva Matos II - Investimentos, SA",,,,K - Financial and insurance activities,PT,2009,
SPV´s,IA - FCI - TICE,,,,K - Financial and insurance activities,PT,2011,
Limited Partners (LPs)/SCR´s,"ES Ventures SCR, SA",,,,K - Financial and insurance activities,PT,2006,
Limited Partners (LPs)/SCR´s,"Capital Criativo SCR, SA",,,,K - Financial and insurance activities,PT,2009,
Limited Partners (LPs)/SCR´s,Haitong Capital SCR SA,,,,K - Financial and insurance activities,PT,2003,
Limited Partners (LPs)/SCR´s,"Change Partners SCR, SA",,,,K - Financial and insurance activities,PT,2008,
Limited Partners (LPs)/SCR´s,"2BPARTNER SCR, SA",,,,K - Financial and insurance activities,PT,2008,
Limited Partners (LPs)/SCR´s,"Novabase Capital SCR, SA",,,,K - Financial and insurance activities,PT,2004,
Limited Partners (LPs)/SCR´s,"Naves ­Sociedade de Capital de Risco, S.A.",,,,K - Financial and insurance activities,PT,2007,
Limited Partners (LPs)/SCR´s,"BUSY ANGELS, SCR, S.A",,,,K - Financial and insurance activities,PT,2015,
Limited Partners (LPs)/SCR´s,"ISQ SCR, SA",,,,K - Financial and insurance activities,PT,2003,
Limited Partners (LPs)/SCR´s,"Beta Capital SCR, SA",,,,K - Financial and insurance activities,PT,2004,
Limited Partners (LPs)/SCR´s,"Critical Ventures, SCR, SA",,,,K - Financial and insurance activities,PT,2009,
SPV´s,BIOCANT VENTURES LDA,,,,"M - Professional, scientific and technical activities",PT,2006,
SPV´s,"EV Tecsaúde, SGPS, SA",,,,K - Financial and insurance activities,PT,2010,
SPV´s,"Pathena, SGPS, S.A.",,,,K - Financial and insurance activities,PT,2005,
SPV´s,"Venture Catalysts, Lda",,,,"M - Professional, scientific and technical activities",PT,2011,
SPV´s,Dueto SGPS,,,,K - Financial and insurance activities,PT,2008,
SPV´s,"BLUE BUSINESS, SGPS, SA",,,,K - Financial and insurance activities,PT,2010,
SPV´s,"Sail Away, Lda",,,,"M - Professional, scientific and technical activities",PT,2010,
SPV´s,"Eggnest, SGPS, S.A.",,,,K - Financial and insurance activities,PT,2010,
SPV´s,PNV Capital,,,,K - Financial and insurance activities,PT,2010,
SPV´s,"TIC Risco, SGPS, SA",,,,K - Financial and insurance activities,PT,2010,
SPV´s,"Best Horizon­SGPS, Unipessoal Lda.",,,,K - Financial and insurance activities,PT,2014,
SPV´s,RedStar,,,,K - Financial and insurance activities,PT,2008,
SPV´s,"Skybusiness, S.A.",,,,"M - Professional, scientific and technical activities",PT,2014,
SPV´s,Seedcamp,,,,K - Financial and insurance activities,UK,2007,
SPV´s,Sequoia Saúde e Tecnologia,,,,K - Financial and insurance activities,PT,2010,
SPV´s,"Daninves, SGPS, S.A.",,,,K - Financial and insurance activities,PT,2007,
SPV´s,SONAE IM,,,,K - Financial and insurance activities,PT,2011,
SPV´s,"EntreParentesis ­SGPS,S.A.",,,,K - Financial and insurance activities,PT,2007,
SPV´s,"AFSA ­SGPS, S.A",,,,K - Financial and insurance activities,PT,2012,
SPV´s,"B31­ Investimentos, Lda­",,,,L - Real estate activities,PT,2012,
SPV´s,"Innovation Makers ­ serviços de Consultoria em Inovação, Lda­",,,,J - Information and communication,PT,2009,
Targeted companies (startups),MORNING HEROES S.A.,,,,J - Information and communication,PT,2015,
Targeted companies (startups),"MOODOPTIC, S.A.",,,,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,PT,2006,
Targeted companies (startups),"MICE - MOLDS AND INJECTED COMPONENTS ENGINEERING, S.A.",,,,"M - Professional, scientific and technical activities",PT,2013,
Targeted companies (startups),"MOBIQUEUE, S.A.",,,,J - Information and communication,PT,2013,
Targeted companies (startups),"MATERA, LDA",,,,"M - Professional, scientific and technical activities",PT,2009,
Targeted companies (startups),NMUSIC S.A.,,,,J - Information and communication,PT,2010,
Targeted companies (startups),"NONIUSSOFT, SOFTWARE E CONSULTORIA PARA TELECOMUNICAÇÕES, S.A.",,,,J - Information and communication,PT,2007,
Targeted companies (startups),Nanosolar,,,,Foreign Company,USA,2002,
Targeted companies (startups),"MYGON, S.A.",,,,"M - Professional, scientific and technical activities",PT,2011,
Targeted companies (startups),"MOVVO, S.A.",,,,J - Information and communication,PT,2009,
Targeted companies (startups),"MUZZLEY, S.A.",,,,J - Information and communication,PT,2012,
Targeted companies (startups),Ophtalmopharma,,,,Foreign Company,CH,2003,
Targeted companies (startups),"OMNIFLOW, S.A",,,,"M - Professional, scientific and technical activities",PT,2011,
Targeted companies (startups),Oceanlinx,,,,Foreign Company,AUS,1999,
Targeted companies (startups),"NUTRIGREEN, S.A.",,,,C - Manufacturing,PT,2007,
Targeted companies (startups),NUTRI VENTURES CORPORATION - NVC S.A.,,,,N - Administrative and support service activities,PT,2010,
Targeted companies (startups),"PEPFEED, S,A",,,,J - Information and communication,PT,2013,
Targeted companies (startups),"PEEK HEALTH, S.A.",,,,J - Information and communication,PT,2015,
Targeted companies (startups),"PASSWORKS, S.A.",,,,J - Information and communication,PT,2014,
Targeted companies (startups),"OUTSYSTEMS - SOFTWARE EM REDE, S.A.",,,,J - Information and communication,PT,2001,
Targeted companies (startups),Orankl,,,,Foreign Company,USA,2013,
Targeted companies (startups),"IMMUNETHEP, S.A.",,,,"M - Professional, scientific and technical activities",PT,2013,
Targeted companies (startups),"IMOBILEMAGIC - MOBILE EXPERIENCES, LDA",,,,J - Information and communication,PT,2010,
Targeted companies (startups),"INDIE CAMPERS, S.A.",,,,"R - Arts, entertainment and recreation",PT,2013,
Targeted companies (startups),"ICLIO, S.A.",,,,J - Information and communication,PT,2009,
Targeted companies (startups),"IM3DICAL, S.A.",,,,"M - Professional, scientific and technical activities",PT,2009,
Targeted companies (startups),JDCPhosphate,,,,Foreign Company,USA,1985,
Targeted companies (startups),"JSCRAMBLER, S.A.",,,,J - Information and communication,PT,2007,
Targeted companies (startups),INVINE,,,,Foreign Company,USA,2012,
Targeted companies (startups),Iosil Energy,,,,Foreign Company,USA,2007,
Targeted companies (startups),"ISA - INTELLIGENT SENSING ANYWHERE, S.A.",,,,"M - Professional, scientific and technical activities",PT,2010,
Targeted companies (startups),LIVE CONTENT S.A,,,,J - Information and communication,PT,2009,
Targeted companies (startups),"LUSOEDUC - INFORMAÇÃO E SERVIÇOS, S.A.",,,,J - Information and communication,PT,2009,
Targeted companies (startups),"LIVIAN TECHNOLOGIES, LDA",,,,J - Information and communication,PT,2014,
Targeted companies (startups),"LASERLEAP TECHNOLOGIES,S.A.",,,,"M - Professional, scientific and technical activities",PT,2011,
Targeted companies (startups),"KINEMATIX SENSE, S.A.",,,,C - Manufacturing,PT,2007,
Targeted companies (startups),"LIQUID DATA INTELLIGENCE, S.A.",,,,J - Information and communication,PT,2014,
Targeted companies (startups),MAGPOWER - SOLUÇÕES DE ENERGIA S.A.,,,,C - Manufacturing,PT,2007,
Targeted companies (startups),"MAGNOMICS, S.A.",,,,"M - Professional, scientific and technical activities",PT,2013,
Targeted companies (startups),"MAPS WITH LIFE, S.A. - EM LIQUIDAÇÃO",,,,J - Information and communication,PT,2013,2016
Targeted companies (startups),"LUZITIN, S.A.",,,,"M - Professional, scientific and technical activities",PT,2009,
Targeted companies (startups),"LYMPHACT - LYMPHOCYTE ACTIVATION TECHNOLOGIES, S.A.",,,,J - Information and communication,PT,2013,
Targeted companies (startups),Spectrum Bridge,,,,Foreign Company,USA,2007,
Targeted companies (startups),"SOUSACAMP, SGPS S.A.",,,,K - Financial and insurance activities,PT,2007,
Targeted companies (startups),STEMMATTERS - BIOTECNOLOGIA E MEDICINA REGENERATIVA S.A.,,,,C - Manufacturing,PT,2007,
Targeted companies (startups),"SPHERAA - PRODUÇÃO DE ENERGIA, LDA",,,,"D - Electricity, gas, steam and air conditioning supply",PT,2008,
Targeted companies (startups),"SPHERE ULTRAFAST PHOTONICS, S.A.",,,,C - Manufacturing,PT,2013,
Targeted companies (startups),"STOPLINE FILMS - PRODUÇÃO DE AUDIOVISUAIS, LDA",,,,J - Information and communication,PT,2004,
Targeted companies (startups),STREAMBOLICO S.A.,,,,J - Information and communication,PT,2012,
Targeted companies (startups),"STOCK BEATS, S.A.",,,,J - Information and communication,PT,2014,
Targeted companies (startups),"SWORD HEALTH, S.A",,,,C - Manufacturing,PT,2013,
Targeted companies (startups),Superbac,,,,Foreign Company,BR,1995,
Targeted companies (startups),"TORBEL, S.A.",,,,C - Manufacturing,PT,1977,
Targeted companies (startups),"TOP RESEARCH, S.A.",,,,"M - Professional, scientific and technical activities",PT,2012,
Targeted companies (startups),THELIAL TECHNOLOGIES S.A.,,,,"M - Professional, scientific and technical activities",PT,2009,
Targeted companies (startups),"TURFLYNX, LDA",,,,"M - Professional, scientific and technical activities",PT,2014,
Targeted companies (startups),"TUIZZI, S.A.",,,,J - Information and communication,PT,2011,
Targeted companies (startups),"TREAT U, S.A.",,,,"M - Professional, scientific and technical activities",PT,2010,
Targeted companies (startups),Ubiquity Global Services,,,,Foreign Company,USA,2012,
Targeted companies (startups),TxVia,,,,Foreign Company,USA,2006,
Targeted companies (startups),"UNBABEL, LDA",,,,J - Information and communication,PT,2013,
Targeted companies (startups),"UNBABEL, INC.",,,,Foreign Company,USA,2013,
Targeted companies (startups),Ultracell,,,,Foreign Company,USA,2002,
Targeted companies (startups),"PERCEIVE3D, S.A.",,,,"M - Professional, scientific and technical activities",PT,2013,
Targeted companies (startups),"PETAPILOT, S.A.",,,,J - Information and communication,PT,2014,
Targeted companies (startups),Petra Systems,,,,Foreign Company,USA,2006,
Targeted companies (startups),"PETSYS ELECTRONICS - MEDICAL PET DETECTORS,",,,,"M - Professional, scientific and technical activities",PT,2013,
Targeted companies (startups),PHARMA73 S.A.,,,,C - Manufacturing,PT,2011,
Targeted companies (startups),"PLUX - WIRELESS BIOSIGNALS, S.A.",,,,"M - Professional, scientific and technical activities",PT,2013,
Targeted companies (startups),"POSSIBLE ANSWER , S.A",,,,"M - Professional, scientific and technical activities",PT,2014,
Targeted companies (startups),"POWER DATA, LDA",,,,J - Information and communication,PT,2013,
Targeted companies (startups),"POWERGRID, LDA",,,,J - Information and communication,PT,2011,
Targeted companies (startups),Prepaid Media,,,,Foreign Company,USA,2005,
Targeted companies (startups),"PROCESSWARE - SOLUÇÕES INFORMÁTICAS, S.A.",,,,J - Information and communication,PT,2009,
Targeted companies (startups),QAMINE LIMITED,,,,J - Information and communication,UK,2013,
Targeted companies (startups),"RADICAL INNOVATION, LDA",,,,N - Administrative and support service activities,PT,2013,
Targeted companies (startups),"QAMINE PORTUGAL, S.A",,,,J - Information and communication,PT,2013,
Targeted companies (startups),"RETMARKER, S.A.",,,,J - Information and communication,PT,2008,
Targeted companies (startups),SafetyPay,,,,Foreign Company,ES,2006,
Targeted companies (startups),"SCIENCE4YOU, S.A.",,,,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,PT,2008,
Targeted companies (startups),"SAKPROJECT INTERNATIONAL, S.A",,,,C - Manufacturing,PT,2012,
Targeted companies (startups),"SHIFTFORWARD, S.A.",,,,J - Information and communication,PT,2011,
Targeted companies (startups),"SKAPHANDRUS, S.A. - EM LIQUIDAÇÃO",,,,J - Information and communication,PT,2014,2016
Targeted companies (startups),"SMARTWATT - ENERGY SERVICES, S.A.",,,,"M - Professional, scientific and technical activities",PT,2008,
Targeted companies (startups),"SMARTGEO, SOLUTIONS, LDA",,,,J - Information and communication,PT,2012,
Other,Ryan Petersen,,,,Singular Person,unknow,2014,
Other,David Peterson,,,,Singular Person,unknow,2014,
Other,Young Guo,,,,Singular Person,unknow,2014,
Other,Raymond Tonsing,,,,Singular Person,unknow,2014,
Other,Rob Emrich,,,,Singular Person,unknow,2014,
Other,Roger Dickey,,,,Singular Person,unknow,2014,
Other,Digital Garage,,,,Foreign Company,JP,1995,
Other,Adeyemi Ajao,,,,Singular Person,unknow,2014,
Other,Founding Team,,,,Singular Person,PT,2014,
Other,Elad Gil,,,,Singular Person,unknow,2014,
Other,Kevin Rose,,,,Singular Person,unknow,2014,
Other,"CIENCIVEST, VALORIZAÇÃO ECONÓMICA DA CIÊNCIA, S.A.",,,,"M - Professional, scientific and technical activities",PT,2008,
Other,Plug & Play Accelarator,,,,Foreign Company,USA,2012,
Other,Principle Power Unipessoal LDA,,,,"M - Professional, scientific and technical activities",PT,2009,
Other,AIP –CCI,,,,S - Other services activities,PT,2011,
Other,PME Investimentos – Sociedade de Investimento S.A.,,,,K - Financial and insurance activities,PT,1989,
Other,Y Combinator,,,,Foreign Company,USA,2005,
Other,Klaus von Sayn-Wittgenstein,,,,Singular Person,unknow,2014,
Other,Undisclosure Angel Investment,,,,K - Financial and insurance activities,unknow,2015,
Other,Henrique de Castro,,,,Singular Person,unknow,2015,
Other,Docentes FCUL,,,,Singular Person,PT,2012,
Limited Partners (LPs)/SCR´s - Outside PT,Pathena SICAR,,,,K - Financial and insurance activities,LUX,2012,
Limited Partners (LPs)/SCR´s - Outside PT,Gobi Partners,,,,K - Financial and insurance activities,China,2002,
Limited Partners (LPs)/SCR´s - Outside PT,Oak HC/FT,,,,K - Financial and insurance activities,USA,2014,
Limited Partners (LPs)/SCR´s - Outside PT,e.ventures,,,,K - Financial and insurance activities,USA,2005,
Limited Partners (LPs)/SCR´s - Outside PT,Golden Gate Ventures,,,,K - Financial and insurance activities,Singapore,2011,
Other,"PRINCIPLE POWER, INC.",,,,Foreign Company,USA,2007,
Other,"Leadership Business Technology, S.A.",,,,"M - Professional, scientific and technical activities",PT,2009,
Other,Alex Chesterman,,,,Singular Person,unknow,2012,
Other,William Reeve,,,,Singular Person,unknow,2012,
Other,Rob McClatchey,,,,Singular Person,unknow,2012,
Limited Partners (LPs)/SCR´s - Outside PT,MERMAID INVESTMENTS B.V.,,,,Foreign Company,NL,2014,
Limited Partners (LPs)/SCR´s - Outside PT,Google Ventures,,,,K - Financial and insurance activities,USA,2009,
Limited Partners (LPs)/SCR´s - Outside PT,Amino Capital,,,,K - Financial and insurance activities,USA,2012,
Limited Partners (LPs)/SCR´s - Outside PT,North Bridge Venture Partners & Growth Equity,,,,K - Financial and insurance activities,USA,1994,
Limited Partners (LPs)/SCR´s - Outside PT,PORTUGAL VENTURE CAPITAL INITIATIVE SICAV,,,,K - Financial and insurance activities,LUX,2012,
Limited Partners (LPs)/SCR´s - Outside PT,Join Capital,,,,K - Financial and insurance activities,DE,2015,
Limited Partners (LPs)/SCR´s - Outside PT,Global Accelerator Year 3 B.V,,,,Foreign Company,NL,2015,
Limited Partners (LPs)/SCR´s - Outside PT,Plopper B.V.,,,,Foreign Company,NL,2015,
Limited Partners (LPs)/SCR´s - Outside PT,Capital One Growth Ventures,,,,K - Financial and insurance activities,USA,2014,
Limited Partners (LPs)/SCR´s - Outside PT,Sapphire Ventures,,,,K - Financial and insurance activities,USA,2005,
Limited Partners (LPs)/SCR´s - Outside PT,Data Collective,,,,K - Financial and insurance activities,USA,2011,
Limited Partners (LPs)/SCR´s - Outside PT,Wefunder,,,,Foreign Company,USA,2011,
Limited Partners (LPs)/SCR´s - Outside PT,Matrix Partners,,,,Foreign Company,USA,1977,
Limited Partners (LPs)/SCR´s - Outside PT,FundersClub,,,,Foreign Company,USA,2012,
Limited Partners (LPs)/SCR´s,"Hovione Capital, SCR S.A.",,,,K - Financial and insurance activities,PT,2015,
Other,BIOCANT ­ ASSOCIAÇÃO DE TRANSFERÊNCIA DE TECNOLOGIA,,,,S - Other services activities,PT,2011,
Other,Indexignition - Investimentos e Consultoria Lda,,,,"M - Professional, scientific and technical activities",PT,2014,
Other,FINOVA - Fundo de Apoio ao Financiamento à Inovação,,,,K - Financial and insurance activities,PT,2008,
Limited Partners (LPs)/SCR´s,Oxy Capital - SCR. S.A.,,,,K - Financial and insurance activities,PT,2012,
Limited Partners (LPs)/SCR´s,"BANIF CAPITAL - SOCIEDADE DE CAPITAL DE RISCO, SA",,,,K - Financial and insurance activities,PT,2003,
Limited Partners (LPs)/SCR´s,Explorer Investments SCR S.A.,,,,K - Financial and insurance activities,PT,2003,
Limited Partners (LPs)/SCR´s,"PME Capital ­Sociedade Portuguesa de Capital de Risco, S.A",,,,K - Financial and insurance activities,PT,2001,
Other,IAPMEI,,,,O - Public administration and defence; compulsory social security,PT,1999,
Other,Região Autonoma dos Açores,,,,O - Public administration and defence; compulsory social security,PT,2011,
Other,Turismo de Portugal,,,,O - Public administration and defence; compulsory social security,PT,2011,
Other,ANJE,,,,S - Other services activities,PT,2011,
Other,Ass. p/Desenvolvimento e Investigação de Viseu,,,,"M - Professional, scientific and technical activities",PT,2011,
Other,Safeinterest,,,,"M - Professional, scientific and technical activities",PT,2011,
Other,Unknown,,,,unknow,unknow,,
Other,Fundação Luso Americana para o Desenvolvimento (“FLAD”),,,,S - Other services activities,PT,2005,
Other,AEP - Associação Empresarial de Portugal (ou entidade por si dominada),,,,S - Other services activities,PT,2005,
Other,"corporate investment arms, family trusts and private individuals",,,,unknow,unknow,2006,
Other,F PENSOESSANTANDER,,,,K - Financial and insurance activities,PT,2008,